source_center,source_name,destination_center,destination_name,distance,ftl_median_delay_ratio,cart_median_delay_ratio,ftl_median_time,cart_median_time,time_difference_mins,delay_ratio_difference,src_betweenness,src_in_degree,src_out_degree,src_clustering,recommend_ftl
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),87.97233473,2.0625,1.805555555555556,132.0,130.0,-2.0,-0.256944444444444,0.0074932668392427,12,9,0.1083333333333333,False
IND000000ACT,Delhi_Gateway_HB (Delhi),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37.022323725,1.1590909090909092,1.575,50.0,67.0,17.0,0.4159090909090908,0.0,0,3,1.0,True
IND144001AAC,Jalandhar_Sodal Road (Punjab),IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),62.673544915,1.9044444444444444,1.6206896551724137,99.0,94.0,-5.0,-0.2837547892720307,0.0,0,2,1.0,False
IND205001AAB,Mainpuri_Agraroad_I (Uttar Pradesh),IND205135AAA,Shikohabad_Katrmira_D (Uttar Pradesh),42.017073415,3.201219512195122,1.975609756097561,133.5,81.0,-52.5,-1.225609756097561,0.0037033044667394,3,4,0.1904761904761904,False
IND205135AAA,Shikohabad_Katrmira_D (Uttar Pradesh),IND283203AAA,Firozabad_Sudmpuri_D (Uttar Pradesh),19.88180426,2.2,2.2,44.0,44.0,0.0,0.0,0.000409379344454,1,1,0.0,False
IND248001AAD,Dehradun_Nirjanpur_L (Uttarakhand),IND131028AAB,Sonipat_Kundli_H (Haryana),177.3176363,2.335714285714286,2.069124423963133,494.5,449.0,-45.5,-0.26658986175115285,0.0004036329741785,2,1,0.0,False
IND282001AAA,Agra_Idgah_P (Uttar Pradesh),IND110037AAM,Delhi_Airport_H (Delhi),169.99246219999998,1.5138888888888888,1.788888888888889,272.5,322.0,49.5,0.27500000000000013,0.0,2,1,1.0,True
IND282001AAF,Agra_Central_D_3 (Uttar Pradesh),IND283122AAB,Kirauli_AchneraRD_D (Uttar Pradesh),20.66632553,2.1,2.45,42.0,49.0,7.0,0.3500000000000001,0.0,0,1,0.0,True
IND283203AAA,Firozabad_Sudmpuri_D (Uttar Pradesh),IND110037AAM,Delhi_Airport_H (Delhi),198.5346208,2.218274111675127,2.203045685279188,437.0,434.0,-3.0,-0.015228426395939021,0.000404227426276,1,1,0.0,False
IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),39.67760491,1.2830188679245282,1.6087416817906837,74.0,92.5,18.5,0.3257228138661554,0.0029562253778884,11,15,0.1503267973856209,True
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),39.73647304,1.4814814814814814,1.7142857142857142,75.0,90.0,15.0,0.2328042328042328,0.1250041269324418,36,35,0.0501700680272108,True
IND732138AAA,Bamangola_Central_D_1 (West Bengal),IND733124AAA,Gangarmpur_KhdimDPP_D (West Bengal),35.642096,1.7567567567567568,2.015057915057915,65.0,72.5,7.5,0.2583011583011581,0.0012321010473453,1,3,0.3333333333333333,True
IND733140AAA,Gangarampr_FulbaDPP_D (West Bengal),IND733102AAA,Balurghat_AkhirDPP_D (West Bengal),22.11247926,1.44,2.12,36.0,53.0,17.0,0.6800000000000002,3.963013983098538e-07,1,2,0.6666666666666666,True
IND841226AAB,Siwan_HnmntNgr_D (Bihar),IND841428AAA,Gopalganj_GopalDPP_D (Bihar),26.97554538,2.652173913043478,2.24,61.0,56.0,-5.0,-0.41217391304347784,7.926027966197076e-07,2,1,0.3333333333333333,False
